"finch_cat_name","finch_cat_id","currently_scored","finch_cat_name_a","finch_cat_id_a","finch_cat_name_b","finch_cat_id_b","finch_cat_name_c","finch_cat_id_c"
After Sun Care,"0c990a7f",1,Personal Care,"15cb88fc",Sun Care & Tanning,"8bb1fa45",After Sun Care,"0c990a7f"
Air Mattresses,cdd2a702,1,Home,"80d57a9e",Bedding,"5b138158",Air Mattresses,cdd2a702
All-purpose Cleaners,"8c0a01bd",1,Household Essentials,"34c8c552",Cleaning Supplies,"06dbf6d2",All-purpose Cleaners,"8c0a01bd"
Antiperspirant,ed70ac2c,1,Personal Care,"15cb88fc",Deodorant & Antiperspirant,"77bfae5e",Antiperspirant,ed70ac2c
Baby Bar Soaps,"644db318",1,Baby,c679954e,Baby Toiletries,da931dee,Baby Bar Soaps,"644db318"
Baby Body Wash,"14c83bb5",1,Baby,c679954e,Baby Toiletries,da931dee,Baby Body Wash,"14c83bb5"
Baby Bubble Bath,"9066efb7",1,Baby,c679954e,Baby Toiletries,da931dee,Baby Bubble Bath,"9066efb7"
Baby Conditioner,c35ea314,1,Baby,c679954e,Baby Toiletries,da931dee,Baby Conditioner,c35ea314
Baby Lotion,"28844804",1,Baby,c679954e,Baby Toiletries,da931dee,Baby Lotion,"28844804"
Baby Shampoo,"0a61da60",1,Baby,c679954e,Baby Toiletries,da931dee,Baby Shampoo,"0a61da60"
Baby Sunscreen,"26a85805",1,Baby,c679954e,Baby Toiletries,da931dee,Baby Sunscreen,"26a85805"
Baby Wipes,"81f24022",1,Baby,c679954e,Diapering,"7cd05646",Baby Wipes,"81f24022"
Bar Soap,"841e9819",1,Personal Care,"15cb88fc",Bath & Body,"16cb99fc",Bar Soap,"841e9819"
Bath Accessories,"123ggf77",0,Personal Care,"15cb88fc",Bath & Body,"16cb99fc",Bath Accessories,"123ggf77"
Bath Bombs,"9ab9b3cc",1,Personal Care,"15cb88fc",Bath & Body,"16cb99fc",Bath Bombs,"9ab9b3cc"
Bath Pillows,c7523686,1,Home,"80d57a9e",Pillows,e49371cb,Bath Pillows,c7523686
Bath Robes,"471a41b7",1,Home,"80d57a9e",Bathroom,"120938asd",Bath Robes,"471a41b7"
