"finch_id","finch_cat_id","finch_cat_name","name","description","additionalproperties","features","brand_name"
tgt_us___85794512,"5068b661",Nursing Pillows,Bacati - 3 pc Emma Aztec Coral/Navy Large Triangles Muslin Hugster Feeding & Infant Support Nursing Pillow with 2 removable zippered covers,"Boutique quality, 100% cotton muslin fabric with reversible, cheerful designs & a corded edge. Zipper allows cover to come off, machine washable, and it gets softer with every wash. Dimensions: 20"" x 23"" x 5"". The Adorable Bacati - 3 pc Nursing/Feeding Pillow Set with 1 Poly Filled Insert Pillow and 2 Nursing Pillow Covers Made with Ultra-Soft 100% Cotton Fabric Fashionable Two-Sided DesignLarge enough to fit around the new mother, nursing pillow has fastener secure behind the back. Unique support system has the benefits of a bouncer with the comfort of your caress. Eases muscle strain & allows for easier feeding times. It converts from a nursing pillow to a support cushion or play seat as your little one grows. Pillow allows your infant to lay reclined. Proper positioning encourages digestion & helps to reduce reflux. Use it as a comfy tummy time cushion or a sit-up support when baby begins to sit.Safety is our #1 priority for baby! These items contain no restricted chemicals, meet strict social responsibility standards, and are printed with azo-free dyes. Designed with Love & Intention in the USABacati is proud to be the first brand to bring fun, colorful, vibrant designs to the nursery. Love our prints or individual nursery decor items Bacati is a ""one-stop shop"" and has many coordinating items available to purchase separately in this & other Bacati Bedding Collections! Designed by experienced designers who have baby essentials & comfort in mind. Our nursery collections are versatile to mix between colors & prints and suit every taste & you can add to your collection later!","{""{\""name\"": \""Origin\"", \""value\"": \""imported\""}"",""{\""name\"": \""Dimensions (Overall)\"", \""value\"": \""20 inches (L), 23 inches (W), 5 inches thick\""}"",""{\""name\"": \""Weight\"", \""value\"": \""2 ounces\""}"",""{\""name\"": \""Features\"", \""value\"": \""Zip Closure\""}"",""{\""name\"": \""Industry or Government Certifications\"", \""value\"": \""STANDARD 100 by OEKO-TEX\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Care & Cleaning\"", \""value\"": \""Machine Wash\""}""}","{""Includes Two Nursing Pillow Covers with Zipper and One Poly-filled Insert nursing pillow. It is Large, Comfy & Supportive while nursing : Generously-sized and self-adjusting nursing pillow for all around comfort, perfect for support after C-sections. Bacati nursing pillow easily adjusts to meet the needs of both newborns and growing infants"",""Versatile Uses for 0-12 months: The Bacati Hugster Original Nursing Pillow supports your newborn through their entire first year with propping, tummy time, sitting or just discovering little fingers and toes. Designed for your baby's supervised, awake time."",""Easy Care & Machine Washable: The Bacati Hugster Nursing Pillow and Pillow Cover are machine washable because little messes happen. Having an extra Nursing Pillow Cover, that easily zips on and off, is great for between wash cycles. Please Put the nursing pillow in the dryer for 5 minutes with a fabric softer sheet so it regains it original shape and then put the cover on the pillow for optimum support"",""Nursery Must-have : The BACATI HUGSTER NURSING PILLOW is a registry must-have, making it the perfect gift for any baby shower. Pick an adorable in Bacati Signature Prints that matches perfectly with many Nursery Bedding Decor items available to purchase separately"",""Dual Purpose for Mom & Baby. Great Baby Shower Gift: Makes a great pregnancy pillow before the baby is born""}",Bacati
tgt_us___82618581,"5068b661",Nursing Pillows,DockATot La Maman Wedge Nursing Pillow - Prints,This stylish accent cushion is actually a smartly designed nursing pillow in disguise. Baby bonding time gets taken to new heights with this cradling pillow that curves around the body to support baby or mom’s arms during nursing sessions. You won’t mind leaving this chic nursing pillow out on the couch when company stops by.,"{""{\""name\"": \""Origin\"", \""value\"": \""Imported\""}"",""{\""name\"": \""Dimensions (Overall)\"", \""value\"": \""23 Inches (L), 13 Inches (W), .25 Inches thick\""}"",""{\""name\"": \""Weight\"", \""value\"": \""35.2 Ounces\""}"",""{\""name\"": \""Material\"", \""value\"": \""Polyester\""}"",""{\""name\"": \""Care & Cleaning\"", \""value\"": \""Spot or Wipe Clean\""}"",""{\""name\"": \""Color\"", \""value\"": \""Strawberry Thief\""}""}","{""The Essential Pillow for Feeding Time"",""Supporting mom and baby during nursing sessions"",""Encourages bonding between baby and caregiver"",""Made from easy clean velvet with a concealed zipper"",""Curved, ergonomic shape"",""Dimensions: 22.8” (58 cm) x 13” (33 cm) x 6.7” (17 cm)""}",DockATot
tgt_us___85794537,"5068b661",Nursing Pillows,Bacati - 3 pc Liam Aztec Orange/Navy Large Triangles Muslin Hugster Feeding & Infant Support Nursing Pillow with 2 removable zippered covers,"Boutique quality, 100% cotton muslin fabric with reversible, cheerful designs & a corded edge. Zipper allows cover to come off, machine washable, and it gets softer with every wash. Dimensions: 20"" x 23"" x 5"". The Adorable Bacati - 3 pc Nursing/Feeding Pillow Set with 1 Poly Filled Insert Pillow and 2 Nursing Pillow Covers Made with Ultra-Soft 100% Cotton Fabric Fashionable Two-Sided DesignLarge enough to fit around the new mother, nursing pillow has fastener secure behind the back. Unique support system has the benefits of a bouncer with the comfort of your caress. Eases muscle strain & allows for easier feeding times. It converts from a nursing pillow to a support cushion or play seat as your little one grows. Pillow allows your infant to lay reclined. Proper positioning encourages digestion & helps to reduce reflux. Use it as a comfy tummy time cushion or a sit-up support when baby begins to sit.Safety is our #1 priority for baby! These items contain no restricted chemicals, meet strict social responsibility standards, and are printed with azo-free dyes. Designed with Love & Intention in the USABacati is proud to be the first brand to bring fun, colorful, vibrant designs to the nursery. Love our prints or individual nursery decor items Bacati is a ""one-stop shop"" and has many coordinating items available to purchase separately in this & other Bacati Bedding Collections! Designed by experienced designers who have baby essentials & comfort in mind. Our nursery collections are versatile to mix between colors & prints and suit every taste & you can add to your collection later!","{""{\""name\"": \""Origin\"", \""value\"": \""imported\""}"",""{\""name\"": \""Dimensions (Overall)\"", \""value\"": \""20 inches (L), 23 inches (W), 5 inches thick\""}"",""{\""name\"": \""Weight\"", \""value\"": \""48 ounces\""}"",""{\""name\"": \""Features\"", \""value\"": \""Zip Closure\""}"",""{\""name\"": \""Industry or Government Certifications\"", \""value\"": \""STANDARD 100 by OEKO-TEX\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Care & Cleaning\"", \""value\"": \""Machine Wash\""}""}","{""Includes Two Nursing Pillow Covers with Zipper and One Poly-filled Insert nursing pillow. It is Large, Comfy & Supportive while nursing : Generously-sized and self-adjusting nursing pillow for all around comfort, perfect for support after C-sections. Bacati nursing pillow easily adjusts to meet the needs of both newborns and growing infants"",""Versatile Uses for 0-12 months: The Bacati Hugster Original Nursing Pillow supports your newborn through their entire first year with propping, tummy time, sitting or just discovering little fingers and toes. Designed for your baby's supervised, awake time."",""Easy Care & Machine Washable: The Bacati Hugster Nursing Pillow and Pillow Cover are machine washable because little messes happen. Having an extra Nursing Pillow Cover, that easily zips on and off, is great for between wash cycles. Please Put the nursing pillow in the dryer for 5 minutes with a fabric softer sheet so it regains it original shape and then put the cover on the pillow for optimum support"",""Nursery Must-have : The BACATI HUGSTER NURSING PILLOW is a registry must-have, making it the perfect gift for any baby shower. Pick an adorable in Bacati Signature Prints that matches perfectly with many Nursery Bedding Decor items available to purchase separately"",""Dual Purpose for Mom & Baby. Great Baby Shower Gift: Makes a great pregnancy pillow before the baby is born""}",Bacati
tgt_us___85794566,"5068b661",Nursing Pillows,Bacati - 3 pc Petals/Floral Lilac Muslin Hugster Feeding & Infant Support Nursing Pillow with 2 removable zippered covers,"Boutique quality, 100% cotton muslin fabric with reversible, cheerful designs & a corded edge. Zipper allows cover to come off, machine washable, and it gets softer with every wash. Dimensions: 20"" x 23"" x 5"". The Adorable Bacati - 3 pc Nursing/Feeding Pillow Set with 1 Poly Filled Insert Pillow and 2 Nursing Pillow Covers Made with Ultra-Soft 100% Cotton Fabric Fashionable Two-Sided DesignLarge enough to fit around the new mother, nursing pillow has fastener secure behind the back. Unique support system has the benefits of a bouncer with the comfort of your caress. Eases muscle strain & allows for easier feeding times. It converts from a nursing pillow to a support cushion or play seat as your little one grows. Pillow allows your infant to lay reclined. Proper positioning encourages digestion & helps to reduce reflux. Use it as a comfy tummy time cushion or a sit-up support when baby begins to sit.Safety is our #1 priority for baby! These items contain no restricted chemicals, meet strict social responsibility standards, and are printed with azo-free dyes. Designed with Love & Intention in the USABacati is proud to be the first brand to bring fun, colorful, vibrant designs to the nursery. Love our prints or individual nursery decor items Bacati is a ""one-stop shop"" and has many coordinating items available to purchase separately in this & other Bacati Bedding Collections! Designed by experienced designers who have baby essentials & comfort in mind. Our nursery collections are versatile to mix between colors & prints and suit every taste & you can add to your collection later!","{""{\""name\"": \""Origin\"", \""value\"": \""imported\""}"",""{\""name\"": \""Dimensions (Overall)\"", \""value\"": \""20 inches (L), 23 inches (W), 5 inches thick\""}"",""{\""name\"": \""Weight\"", \""value\"": \""48 ounces\""}"",""{\""name\"": \""Features\"", \""value\"": \""Zip Closure\""}"",""{\""name\"": \""Industry or Government Certifications\"", \""value\"": \""STANDARD 100 by OEKO-TEX\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Care & Cleaning\"", \""value\"": \""Machine Wash\""}""}","{""Includes Two Nursing Pillow Covers with Zipper and One Poly-filled Insert nursing pillow. It is Large, Comfy & Supportive while nursing : Generously-sized and self-adjusting nursing pillow for all around comfort, perfect for support after C-sections. Bacati nursing pillow easily adjusts to meet the needs of both newborns and growing infants"",""Versatile Uses for 0-12 months: The Bacati Hugster Original Nursing Pillow supports your newborn through their entire first year with propping, tummy time, sitting or just discovering little fingers and toes. Designed for your baby's supervised, awake time."",""Easy Care & Machine Washable: The Bacati Hugster Nursing Pillow and Pillow Cover are machine washable because little messes happen. Having an extra Nursing Pillow Cover, that easily zips on and off, is great for between wash cycles. Please Put the nursing pillow in the dryer for 5 minutes with a fabric softer sheet so it regains it original shape and then put the cover on the pillow for optimum support"",""Nursery Must-have : The BACATI HUGSTER NURSING PILLOW is a registry must-have, making it the perfect gift for any baby shower. Pick an adorable in Bacati Signature Prints that matches perfectly with many Nursery Bedding Decor items available to purchase separately"",""Dual Purpose for Mom & Baby. Great Baby Shower Gift: Makes a great pregnancy pillow before the baby is born""}",Bacati
tgt_us___85794476,"5068b661",Nursing Pillows,Bacati - 3 pc Noah Tribal Print Mint Navy Hugster Feeding & Infant Support Nursing Pillow,"Boutique quality, 100% cotton percale fabric with reversible, cheerful designs & a corded edge. Zipper allows cover to come off, machine washable, and it gets softer with every wash. Dimensions: 20"" x 23"" x 5"". The Adorable Bacati - 3 pc Nursing/Feeding Pillow Set with 1 Poly Filled Insert Pillow and 2 Nursing Pillow Covers Made with Ultra-Soft 100% Cotton Fabric Fashionable Two-Sided DesignLarge enough to fit around the new mother, nursing pillow has fastener secure behind the back. Unique support system has the benefits of a bouncer with the comfort of your caress. Eases muscle strain & allows for easier feeding times. It converts from a nursing pillow to a support cushion or play seat as your little one grows. Pillow allows your infant to lay reclined. Proper positioning encourages digestion & helps to reduce reflux. Use it as a comfy tummy time cushion or a sit-up support when baby begins to sit.Safety is our #1 priority for baby! These items contain no restricted chemicals, meet strict social responsibility standards, and are printed with azo-free dyes. Designed with Love & Intention in the USABacati is proud to be the first brand to bring fun, colorful, vibrant designs to the nursery. Love our prints or individual nursery decor items Bacati is a ""one-stop shop"" and has many coordinating items available to purchase separately in this & other Bacati Bedding Collections! Designed by experienced designers who have baby essentials & comfort in mind. Our nursery collections are versatile to mix between colors & prints and suit every taste & you can add to your collection later!","{""{\""name\"": \""Origin\"", \""value\"": \""imported\""}"",""{\""name\"": \""Dimensions (Overall)\"", \""value\"": \""20 inches (L), 23 inches (W), 5 inches thick\""}"",""{\""name\"": \""Weight\"", \""value\"": \""2 ounces\""}"",""{\""name\"": \""Features\"", \""value\"": \""Zip Closure\""}"",""{\""name\"": \""Industry or Government Certifications\"", \""value\"": \""STANDARD 100 by OEKO-TEX\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Care & Cleaning\"", \""value\"": \""Machine Wash\""}""}","{""Includes Two Nursing Pillow Covers with Zipper and One Poly-filled Insert nursing pillow. It is Large, Comfy & Supportive while nursing : Generously-sized and self-adjusting nursing pillow for all around comfort, perfect for support after C-sections. Bacati nursing pillow easily adjusts to meet the needs of both newborns and growing infants"",""Versatile Uses for 0-12 months: The Bacati Hugster Original Nursing Pillow supports your newborn through their entire first year with propping, tummy time, sitting or just discovering little fingers and toes. Designed for your baby's supervised, awake time."",""Easy Care & Machine Washable: The Bacati Hugster Nursing Pillow and Pillow Cover are machine washable because little messes happen. Having an extra Nursing Pillow Cover, that easily zips on and off, is great for between wash cycles. Please Put the nursing pillow in the dryer for 5 minutes with a fabric softer sheet so it regains it original shape and then put the cover on the pillow for optimum support"",""Nursery Must-have : The BACATI HUGSTER NURSING PILLOW is a registry must-have, making it the perfect gift for any baby shower. Pick an adorable in Bacati Signature Prints that matches perfectly with many Nursery Bedding Decor items available to purchase separately"",""Dual Purpose for Mom & Baby. Great Baby Shower Gift: Makes a great pregnancy pillow before the baby is born""}",Bacati
tgt_us___85794466,"5068b661",Nursing Pillows,Bacati - 3 pc Liam Aztec Print Aqua Orange Navy Hugster Feeding & Infant Support Nursing Pillow,"Boutique quality, 100% cotton percale fabric with reversible, cheerful designs & a corded edge. Zipper allows cover to come off, machine washable, and it gets softer with every wash. Dimensions: 20"" x 23"" x 5"". The Adorable Bacati - 3 pc Nursing/Feeding Pillow Set with 1 Poly Filled Insert Pillow and 2 Nursing Pillow Covers Made with Ultra-Soft 100% Cotton Fabric Fashionable Two-Sided DesignLarge enough to fit around the new mother, nursing pillow has fastener secure behind the back. Unique support system has the benefits of a bouncer with the comfort of your caress. Eases muscle strain & allows for easier feeding times. It converts from a nursing pillow to a support cushion or play seat as your little one grows. Pillow allows your infant to lay reclined. Proper positioning encourages digestion & helps to reduce reflux. Use it as a comfy tummy time cushion or a sit-up support when baby begins to sit.Safety is our #1 priority for baby! These items contain no restricted chemicals, meet strict social responsibility standards, and are printed with azo-free dyes. Designed with Love & Intention in the USABacati is proud to be the first brand to bring fun, colorful, vibrant designs to the nursery. Love our prints or individual nursery decor items Bacati is a ""one-stop shop"" and has many coordinating items available to purchase separately in this & other Bacati Bedding Collections! Designed by experienced designers who have baby essentials & comfort in mind. Our nursery collections are versatile to mix between colors & prints and suit every taste & you can add to your collection later!","{""{\""name\"": \""Origin\"", \""value\"": \""imported\""}"",""{\""name\"": \""Dimensions (Overall)\"", \""value\"": \""20 inches (L), 23 inches (W), 5 inches thick\""}"",""{\""name\"": \""Weight\"", \""value\"": \""2 ounces\""}"",""{\""name\"": \""Features\"", \""value\"": \""Zip Closure\""}"",""{\""name\"": \""Industry or Government Certifications\"", \""value\"": \""STANDARD 100 by OEKO-TEX\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Care & Cleaning\"", \""value\"": \""Machine Wash\""}""}","{""Includes Two Nursing Pillow Covers with Zipper and One Poly-filled Insert nursing pillow. It is Large, Comfy & Supportive while nursing : Generously-sized and self-adjusting nursing pillow for all around comfort, perfect for support after C-sections. Bacati nursing pillow easily adjusts to meet the needs of both newborns and growing infants"",""Versatile Uses for 0-12 months: The Bacati Hugster Original Nursing Pillow supports your newborn through their entire first year with propping, tummy time, sitting or just discovering little fingers and toes. Designed for your baby's supervised, awake time."",""Easy Care & Machine Washable: The Bacati Hugster Nursing Pillow and Pillow Cover are machine washable because little messes happen. Having an extra Nursing Pillow Cover, that easily zips on and off, is great for between wash cycles. Please Put the nursing pillow in the dryer for 5 minutes with a fabric softer sheet so it regains it original shape and then put the cover on the pillow for optimum support"",""Nursery Must-have : The BACATI HUGSTER NURSING PILLOW is a registry must-have, making it the perfect gift for any baby shower. Pick an adorable in Bacati Signature Prints that matches perfectly with many Nursery Bedding Decor items available to purchase separately"",""Dual Purpose for Mom & Baby. Great Baby Shower Gift: Makes a great pregnancy pillow before the baby is born""}",Bacati
tgt_us___85794528,"5068b661",Nursing Pillows,Bacati - 3 pc Love/Hearts Gray Muslin Hugster Feeding & Infant Support Nursing Pillow with 2 removable zippered covers,"Boutique quality, 100% cotton muslin fabric with reversible, cheerful designs & a corded edge. Zipper allows cover to come off, machine washable, and it gets softer with every wash. Dimensions: 20"" x 23"" x 5"". The Adorable Bacati - 3 pc Nursing/Feeding Pillow Set with 1 Poly Filled Insert Pillow and 2 Nursing Pillow Covers Made with Ultra-Soft 100% Cotton Fabric Fashionable Two-Sided DesignLarge enough to fit around the new mother, nursing pillow has fastener secure behind the back. Unique support system has the benefits of a bouncer with the comfort of your caress. Eases muscle strain & allows for easier feeding times. It converts from a nursing pillow to a support cushion or play seat as your little one grows. Pillow allows your infant to lay reclined. Proper positioning encourages digestion & helps to reduce reflux. Use it as a comfy tummy time cushion or a sit-up support when baby begins to sit.Safety is our #1 priority for baby! These items contain no restricted chemicals, meet strict social responsibility standards, and are printed with azo-free dyes. Designed with Love & Intention in the USABacati is proud to be the first brand to bring fun, colorful, vibrant designs to the nursery. Love our prints or individual nursery decor items Bacati is a ""one-stop shop"" and has many coordinating items available to purchase separately in this & other Bacati Bedding Collections! Designed by experienced designers who have baby essentials & comfort in mind. Our nursery collections are versatile to mix between colors & prints and suit every taste & you can add to your collection later!","{""{\""name\"": \""Origin\"", \""value\"": \""imported\""}"",""{\""name\"": \""Dimensions (Overall)\"", \""value\"": \""20 inches (L), 23 inches (W), 5 inches thick\""}"",""{\""name\"": \""Weight\"", \""value\"": \""48 ounces\""}"",""{\""name\"": \""Features\"", \""value\"": \""Zip Closure\""}"",""{\""name\"": \""Industry or Government Certifications\"", \""value\"": \""STANDARD 100 by OEKO-TEX\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Care & Cleaning\"", \""value\"": \""Machine Wash\""}""}","{""Includes Two Nursing Pillow Covers with Zipper and One Poly-filled Insert nursing pillow. It is Large, Comfy & Supportive while nursing : Generously-sized and self-adjusting nursing pillow for all around comfort, perfect for support after C-sections. Bacati nursing pillow easily adjusts to meet the needs of both newborns and growing infants"",""Versatile Uses for 0-12 months: The Bacati Hugster Original Nursing Pillow supports your newborn through their entire first year with propping, tummy time, sitting or just discovering little fingers and toes. Designed for your baby's supervised, awake time."",""Easy Care & Machine Washable: The Bacati Hugster Nursing Pillow and Pillow Cover are machine washable because little messes happen. Having an extra Nursing Pillow Cover, that easily zips on and off, is great for between wash cycles. Please Put the nursing pillow in the dryer for 5 minutes with a fabric softer sheet so it regains it original shape and then put the cover on the pillow for optimum support"",""Nursery Must-have : The BACATI HUGSTER NURSING PILLOW is a registry must-have, making it the perfect gift for any baby shower. Pick an adorable in Bacati Signature Prints that matches perfectly with many Nursery Bedding Decor items available to purchase separately"",""Dual Purpose for Mom & Baby. Great Baby Shower Gift: Makes a great pregnancy pillow before the baby is born""}",Bacati
tgt_us___85794441,"5068b661",Nursing Pillows,Bacati - 3 pc Emma Aztec Print Coral Mint Navy Hugster Feeding & Infant Support Nursing Pillow,"Boutique quality, 100% cotton percale fabric with reversible, cheerful designs & a corded edge. Zipper allows cover to come off, machine washable, and it gets softer with every wash. Dimensions: 20"" x 23"" x 5"". The Adorable Bacati - 3 pc Nursing/Feeding Pillow Set with 1 Poly Filled Insert Pillow and 2 Nursing Pillow Covers Made with Ultra-Soft 100% Cotton Fabric Fashionable Two-Sided DesignLarge enough to fit around the new mother, nursing pillow has fastener secure behind the back. Unique support system has the benefits of a bouncer with the comfort of your caress. Eases muscle strain & allows for easier feeding times. It converts from a nursing pillow to a support cushion or play seat as your little one grows. Pillow allows your infant to lay reclined. Proper positioning encourages digestion & helps to reduce reflux. Use it as a comfy tummy time cushion or a sit-up support when baby begins to sit.Safety is our #1 priority for baby! These items contain no restricted chemicals, meet strict social responsibility standards, and are printed with azo-free dyes. Designed with Love & Intention in the USABacati is proud to be the first brand to bring fun, colorful, vibrant designs to the nursery. Love our prints or individual nursery decor items Bacati is a ""one-stop shop"" and has many coordinating items available to purchase separately in this & other Bacati Bedding Collections! Designed by experienced designers who have baby essentials & comfort in mind. Our nursery collections are versatile to mix between colors & prints and suit every taste & you can add to your collection later!","{""{\""name\"": \""Origin\"", \""value\"": \""imported\""}"",""{\""name\"": \""Dimensions (Overall)\"", \""value\"": \""20 inches (L), 23 inches (W), 5 inches thick\""}"",""{\""name\"": \""Weight\"", \""value\"": \""48 ounces\""}"",""{\""name\"": \""Features\"", \""value\"": \""Zip Closure\""}"",""{\""name\"": \""Industry or Government Certifications\"", \""value\"": \""STANDARD 100 by OEKO-TEX\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Care & Cleaning\"", \""value\"": \""Machine Wash\""}""}","{""Includes Two Nursing Pillow Covers with Zipper and One Poly-filled Insert nursing pillow. It is Large, Comfy & Supportive while nursing : Generously-sized and self-adjusting nursing pillow for all around comfort, perfect for support after C-sections. Bacati nursing pillow easily adjusts to meet the needs of both newborns and growing infants"",""Versatile Uses for 0-12 months: The Bacati Hugster Original Nursing Pillow supports your newborn through their entire first year with propping, tummy time, sitting or just discovering little fingers and toes. Designed for your baby's supervised, awake time."",""Easy Care & Machine Washable: The Bacati Hugster Nursing Pillow and Pillow Cover are machine washable because little messes happen. Having an extra Nursing Pillow Cover, that easily zips on and off, is great for between wash cycles. Please Put the nursing pillow in the dryer for 5 minutes with a fabric softer sheet so it regains it original shape and then put the cover on the pillow for optimum support"",""Nursery Must-have : The BACATI HUGSTER NURSING PILLOW is a registry must-have, making it the perfect gift for any baby shower. Pick an adorable in Bacati Signature Prints that matches perfectly with many Nursery Bedding Decor items available to purchase separately"",""Dual Purpose for Mom & Baby. Great Baby Shower Gift: Makes a great pregnancy pillow before the baby is born""}",Bacati
tgt_us___85794500,"5068b661",Nursing Pillows,Bacati - 3 pc Emma Aztec Mint/Navy Large Triangles Muslin Hugster Feeding & Infant Support Nursing Pillow with 2 removable zippered covers,"Boutique quality, 100% cotton muslin fabric with reversible, cheerful designs & a corded edge. Zipper allows cover to come off, machine washable, and it gets softer with every wash. Dimensions: 20"" x 23"" x 5"". The Adorable Bacati - 3 pc Nursing/Feeding Pillow Set with 1 Poly Filled Insert Pillow and 2 Nursing Pillow Covers Made with Ultra-Soft 100% Cotton Fabric Fashionable Two-Sided DesignLarge enough to fit around the new mother, nursing pillow has fastener secure behind the back. Unique support system has the benefits of a bouncer with the comfort of your caress. Eases muscle strain & allows for easier feeding times. It converts from a nursing pillow to a support cushion or play seat as your little one grows. Pillow allows your infant to lay reclined. Proper positioning encourages digestion & helps to reduce reflux. Use it as a comfy tummy time cushion or a sit-up support when baby begins to sit.Safety is our #1 priority for baby! These items contain no restricted chemicals, meet strict social responsibility standards, and are printed with azo-free dyes. Designed with Love & Intention in the USABacati is proud to be the first brand to bring fun, colorful, vibrant designs to the nursery. Love our prints or individual nursery decor items Bacati is a ""one-stop shop"" and has many coordinating items available to purchase separately in this & other Bacati Bedding Collections! Designed by experienced designers who have baby essentials & comfort in mind. Our nursery collections are versatile to mix between colors & prints and suit every taste & you can add to your collection later!","{""{\""name\"": \""Origin\"", \""value\"": \""imported\""}"",""{\""name\"": \""Dimensions (Overall)\"", \""value\"": \""20 inches (L), 23 inches (W), 5 inches thick\""}"",""{\""name\"": \""Weight\"", \""value\"": \""48 ounces\""}"",""{\""name\"": \""Features\"", \""value\"": \""Zip Closure\""}"",""{\""name\"": \""Industry or Government Certifications\"", \""value\"": \""STANDARD 100 by OEKO-TEX\""}"",""{\""name\"": \""Material\"", \""value\"": \""Cotton\""}"",""{\""name\"": \""Care & Cleaning\"", \""value\"": \""Machine Wash\""}""}","{""Includes Two Nursing Pillow Covers with Zipper and One Poly-filled Insert nursing pillow. It is Large, Comfy & Supportive while nursing : Generously-sized and self-adjusting nursing pillow for all around comfort, perfect for support after C-sections. Bacati nursing pillow easily adjusts to meet the needs of both newborns and growing infants"",""Versatile Uses for 0-12 months: The Bacati Hugster Original Nursing Pillow supports your newborn through their entire first year with propping, tummy time, sitting or just discovering little fingers and toes. Designed for your baby's supervised, awake time."",""Easy Care & Machine Washable: The Bacati Hugster Nursing Pillow and Pillow Cover are machine washable because little messes happen. Having an extra Nursing Pillow Cover, that easily zips on and off, is great for between wash cycles. Please Put the nursing pillow in the dryer for 5 minutes with a fabric softer sheet so it regains it original shape and then put the cover on the pillow for optimum support"",""Nursery Must-have : The BACATI HUGSTER NURSING PILLOW is a registry must-have, making it the perfect gift for any baby shower. Pick an adorable in Bacati Signature Prints that matches perfectly with many Nursery Bedding Decor items available to purchase separately"",""Dual Purpose for Mom & Baby. Great Baby Shower Gift: Makes a great pregnancy pillow before the baby is born""}",Bacati
tgt_us___82841510,e446358b,Disposable Diapers,The Honest Company Clean Conscious Disposable Diapers - (Select Size and Pattern),"The Honest Company's new and best ever diaper. These super-absorbent, eco-friendly diapers are made with plant-derived and sustainable materials and they're gentle for baby's delicate skin.* Now featuring an improved fit and advanced leak protection like never before, this super-soft diaper is designed to perform. Oh, and did we mention how adorable they are?","{""{\""name\"": \""Origin\"", \""value\"": \""Imported\""}"",""{\""name\"": \""Health Facts\"", \""value\"": \""Dye-Free, Paraben-Free\""}"",""{\""name\"": \""Features\"", \""value\"": \""Dual Grip Tabs, Umbilical Cord Opening, Elastic Stretch Sides, Easy Open Sides, Wetness Indicator, Hypoallergenic\""}"",""{\""name\"": \""Disposability\"", \""value\"": \""Do not flush\""}"",""{\""name\"": \""Sustainability Claims\"", \""value\"": \""Renewable Resource\""}"",""{\""name\"": \""Theme\"", \""value\"": \""Animals\""}"",""{\""name\"": \""Safety and Security Features\"", \""value\"": \""No Fragrance Added, Latex-Free, Chlorine-Free\""}"",""{\""name\"": \""Package Quantity\"", \""value\"": \""76\""}"",""{\""name\"": \""Diaper Weight Range\"", \""value\"": \""Up to 10 lbs\""}"",""{\""name\"": \""Material\"", \""value\"": \""Wood Fluff Pulp\""}"",""{\""name\"": \""Size\"", \""value\"": \""Newborn\""}"",""{\""name\"": \""Count\"", \""value\"": \""76\""}"",""{\""name\"": \""Pattern\"", \""value\"": \""Above It All + Pandas\""}""}","{""Winner of the 2020 BabyCenter Love It Award for Best Disposable Diaper"",""True Absorb Core holds 17x its weight in fluid, super-soft cloudlike liner"",""Honestly Secure fit featuring stretchy side panels and sure-fit leg cuffs"",""Bio-based core with sustainably harvested fluff pulp and plant-derived materials"",""Premium comfort & style""}",The Honest Company
